yyyymm,F2Pool,AntPool,BitFury,BTCC,SlushPool,ViaBTC,58COIN,BW.COM,KnCMiner,BTC.TOP,BitClub,Bixin,BTC.com,GBMiners,GHash.IO,Eligius,BTC Guild,21 Inc.,Telco 214,DPOOL,Poolin,Other-Raw,Other-Adjusted,TotalNumBlocks,SanityCheck
201807,8.89,13.02,1.85,1.53,11.13,12.05,0.92,2.09,0,9.73,1.96,1.96,21.29,0,0,0,0,0,0,2.73,,17.24,10.85,4651,Good
201806,9.37,14.57,1.74,1.76,10.87,9.17,0.67,1.91,0,9.5,1.26,2.35,26.72,0,0,0,0,0,0,3.2,,12.99,6.91,4598,Good
201805,8.35,15.37,2.19,2.57,10.96,8.97,1,1.95,0,8.71,1.76,1.99,25.36,0,0,0,0,0,0,3.75,,14.78,7.07,4713,Good
201804,7.59,13.3,2.32,2.6,10.76,10.74,0.98,1.32,0,8.79,1.67,0,27.38,0.41,0,0,0,0,0,3.51,,16.26,8.63,4613,Good
201803,6.38,15.51,1.96,4.11,11.02,10.87,1.12,0.75,0,9.22,2.15,0,24.38,1.21,0,0,0,0,0,0.17,,20.47,11.15,4647,Good
201802,4.9,15.36,1.69,3.8,10.41,11.83,1.33,0.89,0,11.83,1.81,0,25.98,1.14,0,0,0,0,0,0,,11.06,9.03,4369,Good
201801,5.48,18.99,2.02,2.41,10.52,11.75,1.15,1.31,0,13.14,2.39,0,22.04,1.31,0,0,0,0,0,0,,10.11,7.49,5056,Good
201712,7.83,17.88,2.74,2.96,10.76,12.29,2.57,1.57,0,13.26,3,0.32,17.1,1.63,0,0,0,0,0,0,,9.61,6.09,5031,Good
201711,8.09,17.42,3.43,4.44,9.28,13.6,1.99,1.85,0,12.96,2.81,2.49,14.38,2.01,0,0,0,0,0,0,,11.6,5.25,4376,Good
201710,9.07,19.22,3.96,7.02,6.79,10.07,0,2.05,0,12.83,3.4,4.19,11.42,2.14,0,0,0,0,0,0,,16.22,7.84,4821,Good
201709,8.73,15.8,4.35,7.37,5.6,10.07,0,2.6,0,13.41,4.04,4.84,11.58,2.2,0,0,0,0,0,0,,19.05,9.41,4855,Good
201708,7.9,18.25,5.13,7.26,5.42,5.58,0,3.63,0,12.17,4.27,6.56,11.73,3.15,0,0,0,0,0.43,0,,22.29,8.52,4407,Good
201707,7.84,21.2,3.4,7.55,4.26,4.97,0,4.91,0,12.57,3.34,7.24,8.19,3.27,0,0,0,0,0.53,0,,26.68,10.73,4887,Good
201706,9.62,16.73,5.26,7.49,4.85,4.7,0,4.5,0,14.16,3.49,8.41,7.67,1.65,0,0,0,0,0.89,0,,26.03,10.58,4484,Good
201705,9.58,16.55,8.41,8.39,5.15,5.44,0,4.75,0,9.93,3.59,7.55,6.47,0.99,0,0,0,0,0.91,0,,26.49,12.29,4861,Good
201704,10.66,16.54,10.12,9.04,5.7,4.08,0,5.06,0,8.4,3.24,6.62,4.26,1.91,0,0,0,0,0.95,0,,27.96,13.42,4444,Good
201703,11.9,15.76,10.77,7.08,6.48,6.97,0,6.19,0,6.22,3,4.44,4.4,3.77,0,0,0,0,1.01,0,,27.42,12.01,4637,Good
201702,10.91,14.66,10.08,6.67,5.58,6.46,0,6.85,0,5.47,2.92,5.3,4.29,3.54,0,0,0,0,0.94,0,,32.96,16.33,4264,Good
201701,15.37,18.18,9,7.02,5.39,6.6,0,8.45,0,3.5,3.58,5.24,4.64,4.06,0,0,0,0,0.89,0,,26.72,8.08,4924,Good
201612,15.32,19.2,7.97,8.76,6.1,5.78,0,10.17,0,0.62,3.06,5.24,5.09,3.92,0,0,0,0,0.85,0,,12.45,7.92,4699,Good
201611,15.73,17.46,7.71,10.7,6.32,7.38,0,9.77,0,0,3.47,5.87,3.35,3.35,0,0,0,0,1.19,0,,12.36,7.7,4525,Good
201610,16.13,17.63,8.01,11.62,5.92,9.07,0,9.86,0,0,3.52,4.95,3.9,1.94,0,0,0,0,0.92,0,,10.97,6.53,4551,Good
201609,18.14,14.73,8.42,12.36,6.44,9.48,0,11.79,0.79,0,3.25,4.29,1.94,1.45,0,0,0,0,0.9,0,,10.96,6.02,4556,Good
201608,19.17,15.77,8.37,13.57,6.07,8.04,0,12.95,2.38,0,3.88,4.41,0,0.02,0,0,0,0,0.75,0,,11.63,4.62,4659,Good
201607,19.89,19.47,9.03,13.42,5.29,3.23,0,13.63,2.22,0,2.91,4.88,0,0,0,0,0,0,0.94,0,,11.16,5.09,4371,Good
201606,24.88,19.75,8.96,12.59,4.59,0.72,0,12.9,3.2,0,3.35,2.08,0,0,0,0,0,0,0.65,0,,13.53,6.33,4474,Good
201605,26.04,24.68,9.22,13.38,5.22,0,0,9.81,3.35,0,2.31,0,0,0,0,0,0,0,0.91,0,,11.65,5.08,4628,Good
201604,23.86,27.67,9.19,14.42,4.26,0,0,6.64,3.81,0,3.56,0,0,0,0,0,0,0,0.74,0,,13.96,5.85,4464,Good
201603,23.96,25.84,11.14,14.92,3.49,0,0,5.99,3.81,0,3.01,0,0,0,0.7,0.59,0,0,0.87,0,,14.66,5.68,4588,Good
201602,24.32,23.02,12.7,14.98,4.33,0,0,8.13,3.65,0,2.6,0,0,0,0.9,0.92,0,1.07,0.5,0,,12.52,2.88,4573,Good
201601,22.99,25.66,14.83,13.05,4.15,0,0,6.33,4.08,0,1.64,0,0,0,1.07,1.17,0,1.54,0.98,0,,12.99,2.51,4880,Good
201512,23.68,22.73,14,13.77,4.5,0,0,6.04,5.55,0,0,0,0,0,1.16,1.59,0,2.61,1.04,0,,9.73,3.33,5089,Good
201511,21.77,21.25,14.71,12.56,6.17,0,0,5.68,6,0,0,0,0,0,1.68,1.81,0,3.39,1.32,0,,11.86,3.66,4690,Good
201510,19.85,18.36,15.24,13.84,7,0,0,5.94,7.7,0,0,0,0,0,1.34,2.26,0,3.68,1.77,0,,12.07,3.02,4565,Good
201509,19.27,16.92,14.88,12.82,7.34,0,0,6.6,7.76,0,0,0,0,0,1.25,3.2,0,4.14,2.24,0,,14.41,3.58,4469,Good
201508,19.85,17.15,15.84,12.21,5.03,0,0,7.86,4.66,0,0,0,0,0,1.61,4.46,0,4.11,1.74,0,,17.4,5.48,4595,Good
201507,18.15,19.86,14.51,10.91,3.43,0,0,8.84,4.43,0,0,0,0,0,1.98,4.33,0,4.03,2.15,0,,19.87,7.38,4642,Good
201506,20.29,19.33,12.03,10.27,2.56,0,0,8.58,4.56,0,0,0,0,0,2.25,2.25,2.36,4.13,2.11,0,,22.38,9.28,4403,Good
201505,21.21,18.77,5.53,9.14,4.01,0,0,10.84,5.85,0,0,0,0,0,2.45,1.71,3.05,3.01,2.18,0,,24.65,12.25,4492,Good
201504,21.11,15.8,4.28,8.44,4.42,0,0,11.75,6.32,0,0,0,0,0,3.09,2.18,4.23,1.21,2.23,0,,27.88,14.94,4303,Good
201503,16.41,16.63,2.35,7.45,3.6,0,0,12.2,5.74,0,0,0,0,0,4.19,2.74,4.33,0,2.37,0,,35.62,21.99,4601,Good
201502,16.41,16.63,2.35,7.45,3.6,0,0,12.2,5.74,0,0,0,0,0,7.87,3.05,3.87,0,2.6,0,,35.62,18.23,4269,Good
201501,20.9,14.59,3.6,7.7,2.69,0,0,0.6,6.68,0,0,0,0,0,9.77,2.86,4.36,0,2.59,0,,43.24,23.66,4586,Good